# Lese-Schleife p132+p133+p134 — Fig2 (DSS63 LORAN-C), Fig3 (DSS43 TV);
# Maschinen-Detektor + Foto-Verifikation; Einheit delta-f/f
## fig2-DSS63
1980-07 2.50e-13
1980-08 -2.06e-13
1980-09 4.64e-13
1980-10 2.84e-14
1980-11 1.63e-13
1980-12 1.65e-13
1981-01 2.58e-13
1981-03 7.41e-13
1981-04 7.60e-15
1981-05 3.56e-13
1981-06 -5.26e-13
1981-07 7.04e-13
1981-08 4.70e-13
1981-09 2.98e-13
1981-10 2.34e-13
1981-11 9.01e-13
1981-12 2.72e-13
1982-01 7.43e-14
1982-03 -1.56e-13
## fig3-DSS43
1980-07 3.56e-13
1980-08 1.53e-13
1980-09 1.33e-13
1980-10 2.22e-13
1980-11 2.19e-13
1980-12 2.77e-13
1981-01 2.55e-13
1981-02 1.85e-13
1981-03 2.10e-13
1981-04 1.80e-13
1981-07 1.66e-13
1981-08 2.13e-13
1981-09 1.59e-13
1981-10 1.93e-13
1981-11 1.91e-13
1981-12 2.60e-13
1982-01 1.48e-13
1982-02 1.47e-13
## fig4-DSS14 (15 Punkte, Roboter+Ruhebalken-Kalibrierung 10^-11@661/10^-12@1003/10^-13@1345/0@1695/-10^-13@2043)
fig4-DSS14 k0 2010 1070 1.570e-13
fig4-DSS14 k1 2130 1279 6.412e-13
fig4-DSS14 k2 2238 1246 5.135e-13
fig4-DSS14 k3 2354 1164 2.956e-13
fig4-DSS14 k4 2478 1202 3.818e-13
fig4-DSS14 k5 2586 1144 2.584e-13
fig4-DSS14 k6 2688 1209 4.003e-13
fig4-DSS14 k7 2810 1384 8.886e-14
fig4-DSS14 k8 2926 1340 9.669e-13
fig4-DSS14 k9 3038 1604 2.600e-14
fig4-DSS14 k10 3276 1220 4.310e-13
fig4-DSS14 k11 3390 1130 2.352e-13
fig4-DSS14 k12 3502 1950 -7.328e-14
fig4-DSS14 k13 3620 1304 7.588e-13
fig4-DSS14 k14 3728 1304 7.588e-13
## fig5-DSS63vs14-VLBI (11 grosse Punkte n>=1300, x<=2460; Monats-Index +-1, x0=340 Spacing 88 unsicher)
fig5 k13 1450 5249 -2.931e-12
fig5 k14 1576 4027 9.190e-13
fig5 k16 1715 3916 4.398e-13
fig5 k18 1894 3903 4.035e-13
fig5 k20 2090 3854 2.924e-13
fig5 k20 2114 3754 1.504e-13
fig5 k21 2182 3939 5.128e-13
fig5 k23 2342 3885 3.580e-13
fig5 k23 2378 4316 2.083e-14
fig5 k23 2400 4685 -8.487e-14
fig5 k24 2408 4045 9.864e-14
## fig6-DSS43vs14-VLBI (8 grosse Punkte n>=1300; Monats-Index +-1, x0=440 Spacing 88)
fig6 k10 1358 2123 1.412e-13
fig6 k11 1409 2851 -2.366e-14
fig6 k12 1505 2029 7.591e-14
fig6 k14 1682 3119 -1.022e-13
fig6 k16 1885 3343 -4.499e-13
fig6 k19 2127 2223 2.736e-13
fig6 k22 2359 3456 -9.478e-13
fig6 k23 2453 2140 1.583e-13
