# v_freq_shelf v1 sha256:21b12ffd7b525c78aa9619bc0a64fb23d2e06b58a3b310f26ab42b2be6a0bc60
# columns: force_type freq_hz bin_width_hz v_m_s v_unc_m_s epoch_tdb
0 1.332411e18 0.0 2.997925e8 1.441853e7 4.574526e8
0 3.189281e16 0.0 2.997925e8 1.441853e7 4.574526e8
0 2.288492e16 0.0 2.997925e8 1.441853e7 4.574526e8
0 1.753172e16 0.0 2.997925e8 1.441853e7 4.574526e8
0 1.553329e16 0.0 2.997925e8 1.441853e7 4.574526e8
0 1.420817e16 0.0 2.997925e8 1.441853e7 4.574526e8
0 9.861594e15 0.0 2.997925e8 1.441853e7 4.574526e8
0 8.949029e15 0.0 2.997925e8 1.441853e7 4.574526e8
4 5.000000e-2 1.666667e-2 2.899800e3 2.146500e2 1.786745e9
4 4.000000e-2 1.333333e-2 3.302700e3 3.245500e2 1.786745e9
4 3.333333e-2 1.111111e-2 3.389600e3 2.701500e2 1.786745e9
4 2.500000e-2 8.333333e-3 3.541100e3 1.508000e2 1.786745e9
4 2.000000e-2 6.666667e-3 3.645600e3 1.573000e2 1.786745e9
4 1.666667e-2 5.555556e-3 3.744900e3 1.354000e2 1.786745e9
4 1.250000e-2 4.166667e-3 3.706400e3 1.641500e2 1.786745e9
4 1.000000e-2 3.333333e-3 3.703300e3 1.295500e2 1.786745e9
4 8.000000e-3 2.666667e-3 3.680300e3 1.093000e2 1.786745e9
4 6.666667e-3 2.222222e-3 3.460700e3 1.621000e2 1.786745e9
4 5.000000e-3 1.666667e-3 3.272100e3 1.735000e2 1.786745e9
