  # HOST                                        SRC ANBIETER BIETET              WIR NUTZEN                   FORCES                
=======================================================================================================================================
 77 gcn.nasa.gov                                  3 3 Quellen                    3 Quellen                    em
 78 www.minorplanetcenter.net                     3 3 Quellen                    3 Quellen                    gravity
 79 www.nhc.noaa.gov                              3 3 Quellen                    3 Quellen                    em,thermal
 80 cddis.nasa.gov                                3 3 Quellen                    3 Quellen                    em,gravity
 81 bhuvan-app1.nrsc.gov.in                       3 3 Quellen                    3 Quellen                    diffusion,seismic-su
 82 coastwatch.pfeg.noaa.gov                      3 3 Quellen                    3 Quellen                    em,thermal
 83 hpiers.obspm.fr                               3 3 Quellen                    3 Quellen                    em
 84 v4.boldsystems.org                            3 3 Quellen                    3 Quellen                    diffusion
 85 gist.githubusercontent.com                    3 3 Quellen                    3 Quellen                    em
 86 ssd.jpl.nasa.gov                              3 78 Körper                    75 CDN, 3 direkt             gravity
 87 zenodo.org                                    3 3 Quellen                    3 Quellen                    diffusion,gravity
 88 musicbrainz.org                               3 3 Quellen                    3 Quellen                    em
 89 www.ngdc.noaa.gov                             3 3 Quellen                    3 Quellen                    em,seismic-body
 90 ws.pangaea.de                                 3 3 Quellen                    3 Quellen                    diffusion
 91 api.wheretheiss.at                            2 2 Quellen                    2 Quellen                    em
 92 stat.ripe.net                                 2 2 Quellen                    2 Quellen                    em
 93 transport.opendata.ch                         2 2 Quellen                    2 Quellen                    em
 94 services1.arcgis.com                          2 2 Quellen                    2 Quellen                    seismic-body,seismic
 95 services5.arcgis.com                          2 2 Quellen                    2 Quellen                    acoustic,em
 96 api.energy-charts.info                        2 2 Quellen                    2 Quellen                    em
 97 api.carbonintensity.org.uk                    2 2 Quellen                    2 Quellen                    em,thermal
 98 www.tsunami.gov                               2 2 Quellen                    2 Quellen                    gravity
 99 kp.gfz.de                                     2 2 Quellen                    2 Quellen                    em
100 geofon.gfz-potsdam.de                         2 2 Quellen                    2 Quellen                    seismic-body
101 firms.modaps.eosdis.nasa.gov                  2 2 Quellen                    2 Quellen                    thermal
102 epic.gsfc.nasa.gov                            2 2 Quellen                    2 Quellen                    em
103 www.imis.bfs.de                               2 2 Quellen                    2 Quellen                    em
104 simbad.cds.unistra.fr                         2 2 Quellen                    2 Quellen                    em
105 geofon.gfz.de                                 2 2 Quellen                    2 Quellen                    em
106 meta.icos-cp.eu                               2 2 Quellen                    2 Quellen                    diffusion
107 erddap.ifremer.fr                             2 2 Quellen                    2 Quellen                    diffusion,thermal
108 gong2.nso.edu                                 2 2 Quellen                    2 Quellen                    em
109 openlittermap.com                             2 2 Quellen                    2 Quellen                    diffusion
110 earth-search.aws.element84.com                2 2 Quellen                    2 Quellen                    em
111 api.woudc.org                                 2 2 Quellen                    2 Quellen                    em
112 clinicaltrials.gov                            2 2 Quellen                    2 Quellen                    em
113 api.openalex.org                              2 2 Quellen                    2 Quellen                    em
114 www.orfeus-eu.org                             2 2 Quellen                    2 Quellen                    seismic-body
115 hydro1.gesdisc.eosdis.nasa.gov                2 2 Quellen                    2 Quellen                    diffusion,thermal
116 data.humdata.org                              2 2 Quellen                    2 Quellen                    diffusion,em
117 www.isc.ac.uk                                 2 2 Quellen                    2 Quellen                    seismic-body
118 epqs.nationalmap.gov                          2 2 Quellen                    1 Stat.                      em,seismic-surface
119 g6goyz4w56.execute-api.us-west-2.amazona      2 2 Quellen                    2 Quellen                    em
120 oderest.rsl.wustl.edu                         2 2 Quellen                    2 Quellen                    em
121 www.physics.mcgill.ca                         2 2 Quellen                    2 Quellen                    em
122 data.rcsb.org                                 2 2 Quellen                    2 Quellen                    em
123 climate-api.open-meteo.com                    2 2 Quellen                    4 Params                     em,thermal
124 openlibrary.org                               2 2 Quellen                    2 Quellen                    em
125 pubchem.ncbi.nlm.nih.gov                      2 2 Quellen                    2 Quellen                    em
126 rapid.ac.uk                                   2 2 Quellen                    2 Quellen                    diffusion
127 api.stackexchange.com                         2 2 Quellen                    2 Quellen                    em
128 macrostrat.org                                2 2 Quellen                    1 Stat.                      em
129 qrng.anu.edu.au                               1 1 Quellen                    1 Quellen                    em
130 api.blitzortung.org                           1 1 Quellen                    1 Quellen                    em
131 www.inex.ie                                   1 1 Quellen                    1 Stat.                      em
132 api.irail.be                                  1 1 Quellen                    1 Quellen                    em
133 api.irishrail.ie                              1 1 Quellen                    1 Quellen                    em
134 www.wienerlinien.at                           1 1 Quellen                    1 Quellen                    em
135 data.blitzortung.org                          1 1 Quellen                    1 Stat.                      acoustic
136 api.drand.sh                                  1 1 Quellen                    1 Quellen                    em
137 irsc.ut.ac.ir                                 1 1 Quellen                    1 Quellen                    seismic-body
138 api.p2pquake.net                              1 1 Quellen                    1 Quellen                    seismic-body
139 beacon.nist.gov                               1 1 Quellen                    1 Quellen                    em
140 service.scedc.caltech.edu                     1 1 Quellen                    1 Quellen                    seismic-body
141 earthquake.tmd.go.th                          1 1 Quellen                    1 Quellen                    seismic-body
142 api.rainviewer.com                            1 1 Quellen                    1 Quellen                    acoustic
143 reg.bom.gov.au                                1 1 Quellen                    1 Quellen                    diffusion
144 www.emsc-csem.org                             1 1 Quellen                    1 Quellen                    seismic-body
145 www.pegelonline.wsv.de                        1 1 Quellen                    1 Quellen                    gravity
146 environment.data.gov.uk                       1 1 Quellen                    1 Quellen                    em
147 www.ionosonde.iap-kborn.de                    1 1 Quellen                    1 Quellen                    em
148 tadas.afad.gov.tr                             1 1 Quellen                    1 Quellen                    seismic-body
149 api.weather.bom.gov.au                        1 1 Quellen                    1 Quellen                    em
150 dataserver-coids.inpe.br                      1 1 Quellen                    1 Quellen                    em
151 bmkg-restapi.vercel.app                       1 1 Quellen                    1 Quellen                    em
152 www.ceic.ac.cn                                1 1 Quellen                    1 Quellen                    seismic-surface
153 www.jma.go.jp                                 1 1 Quellen                    1 Quellen                    seismic-surface
154 api.waterdata.usgs.gov                        1 1 Quellen                    1 Quellen                    advective
155 impc.dlr.de                                   1 1 Quellen                    1 Quellen                    em
156 almascience.org                               1 1 Quellen                    1 Quellen                    em
157 www.amsmeteors.org                            1 1 Quellen                    1 Quellen                    gravity
158 argovis-api.colorado.edu                      1 1 Quellen                    1 Quellen                    diffusion
159 www.hamqsl.com                                1 1 Quellen                    1 Quellen                    em
160 api.sunrise-sunset.org                        1 1 Quellen                    1 Quellen                    em
161 disease.sh                                    1 1 Quellen                    1 Quellen                    em
162 api.exchangerate-api.com                      1 1 Quellen                    1 Quellen                    em
163 open.er-api.com                               1 1 Quellen                    1 Quellen                    em
164 data.gdeltproject.org                         1 1 Quellen                    1 Quellen                    em
165 www.govtrack.us                               1 1 Quellen                    1 Quellen                    em
166 ll.thespacedevs.com                           1 1 Quellen                    1 Quellen                    em
167 onionoo.torproject.org                        1 1 Quellen                    1 Quellen                    em
168 wikimedia.org                                 1 1 Quellen                    1 Quellen                    em
169 ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca           1 1 Quellen                    1 Quellen                    em
170 geoserver.efas.eu                             1 1 Quellen                    1 Quellen                    diffusion
171 sky.esa.int                                   1 1 Quellen                    1 Quellen                    em
172 network.satnogs.org                           1 1 Quellen                    1 Quellen                    em
173 fireball.fripon.org                           1 1 Quellen                    1 Quellen                    em
174 www.globalcmt.org                             1 1 Quellen                    1 Quellen                    seismic-body
175 archive.gemini.edu                            1 1 Quellen                    1 Quellen                    em
176 catalogue.dataspace.copernicus.eu             1 1 Quellen                    1 Quellen                    em
177 ies-ows.jrc.ec.europa.eu                      1 1 Quellen                    1 Quellen                    em
178 www.globalfloods.eu                           1 1 Quellen                    1 Quellen                    em
